Primary Need,Priority Score,Account ID,Account,Category,City,2026 Purchased,2026 Cases,2026 Invoice Count,Latest 2026 Invoice,Account Type,Contact Ready,Contact Summary,Ordering Route,Priority Products Present,Priority Products To Review,Recommended Owner,Next Action,Portal Account URL
call today,4484.20,14609,Rayan's Wine & Fine Spirits,Vendor - Retail,Chicago,1248.00,31.00,4,2026-05-31,independent/local,yes,Eddie Rayan / rayanliquors@yahoo.com / 773 989 1025,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Rye, Dry Gin",Cranberry Gin,Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Rayan's Wine & Fine Spirits on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/14609
call today,4145.95,3855,Franklin Tap,Vendor - Bar,Chicago,1588.16,15.83,5,2026-05-31,independent/local,yes,Lisa Selman / elle.selman@yahoo.com,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin, Priority Liqueur",Thresh & Winnow,Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Franklin Tap on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/3855
call today,4123.30,22348,Beatrix - N Clark,Vendor - Bar,Chicago,1962.00,11.00,5,2026-05-31,independent/local,yes,Cannon Porter / cporter@leye.com / 3122841377,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Beatrix - N Clark on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/22348
call today,3766.20,3766,Kenwood Liquors - Homer Glen,Vendor - Retail,Homer Glen,648.00,5.00,2,2026-03-31,independent/local,yes,Mikey Dixon / mikey@kenwoodliquors.biz,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow","Rye, Dry Gin",Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Kenwood Liquors - Homer Glen on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/3766
call today,3664.40,47255,Sarah Mart,Vendor - Retail,Chicago,576.00,4.00,2,2026-03-31,independent/local,yes,Peter Beverage Manager / OMPIYUSH12@yahoo.com,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Sarah Mart on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/47255
call today,3547.50,737,Uncork It,Vendor - Retail,Chicago,1330.00,13.00,4,2026-05-31,independent/local,yes,Gidget (Spirits Buyer) / info@uncorkitchicago.com / 312-321-9400,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye",Dry Gin,Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Uncork It on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/737
call today,3491.10,27270,Rayan's Discount Liquors,Vendor - Retail,Chicago,1074.00,10.00,5,2026-05-31,independent/local,yes,Abe ? / (773) 728-7765,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin",Thresh & Winnow,Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Rayan's Discount Liquors on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/27270
call today,3422.80,48952,Sugar Beet Co-Op,Vendor - Retail,Oak Park,1392.00,10.00,4,2026-05-31,independent/local,yes,Lissa Dysart / marketing@sugarbeet.coop,live Salesreport/OPS lookup required,"Bourbon, Rye, Dry Gin","Cranberry Gin, Thresh & Winnow",Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Sugar Beet Co-Op on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/48952
contact cleanup first,21214.05,306545,Liquor Barn - Vernon Hills,Vendor - Retail,Vernon Hills,19766.00,111.33,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin, Priority Liqueur",none from verified history,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/306545
contact cleanup first,11711.38,178243,Hotel Zachary Chicago,Vendor - Bar,Chicago,9433.13,60.67,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye","Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/178243
contact cleanup first,10403.12,128740,Goodman Theatre,Vendor - Bar,Chicago,7307.88,62.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin",Thresh & Winnow,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/128740
contact cleanup first,9442.25,324139,Holiday Inn Chicago Downtown - Wolf Point & Voco,Vendor - Bar,Chicago,1796.00,114.67,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye, Dry Gin","Cranberry Gin, Thresh & Winnow",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/324139
contact cleanup first,7591.00,312959,Ema - Glenview,Vendor - Bar,Glenview,5520.00,32.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Priority Liqueur","Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/312959
contact cleanup first,6378.40,268158,Aba / The Dalcy,Vendor - Bar,Chicago,4416.00,23.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Rye,"Bourbon, Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/268158
contact cleanup first,6209.10,273966,Cindy Liquors_2,Vendor - Retail,Libertyville,4494.00,29.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin, Priority Liqueur",none from verified history,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/273966
contact cleanup first,6122.40,2837,Andersonville Wine & Spirits,Vendor - Retail,Chicago,2076.00,51.00,4,2026-05-31,independent/local,no,Brenna x,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",none from verified history,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/2837
contact cleanup first,5859.50,191580,Spirits & Spice - Water Tower Place,Vendor - Retail,Chicago,2430.00,27.00,1,2026-02-28,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Rye","Bourbon, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/191580
contact cleanup first,5510.60,312961,Ema,Vendor - Bar,Chicago,3504.00,23.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Priority Liqueur","Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/312961
contact cleanup first,5161.00,364985,The Whale Chicago,Vendor - Bar,Chicago,1440.00,16.00,3,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,Cranberry Gin,"Bourbon, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/364985
contact cleanup first,5152.85,316998,Bitter & Sweet Cocktails,Vendor - Retail,Arlington Heights,2418.00,24.33,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye",Dry Gin,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/316998
contact cleanup first,5057.10,45436,Fresh Market Place (Agora Market),Vendor - Retail,Chicago,2214.00,20.00,6,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Dry Gin","Cranberry Gin, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/45436
contact cleanup first,4944.59,356842,Le Ono,Vendor - Bar,O'Fallon,3070.67,12.83,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Bourbon,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/356842
contact cleanup first,4691.84,305888,Wild Onion Market,Vendor - Retail,Chicago,2328.98,22.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin",Thresh & Winnow,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/305888
contact cleanup first,4470.90,38115,Hops & Grapes,Vendor - Retail,Chicago,886.00,15.00,2,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/38115
contact cleanup first,4299.20,127462,Beatrix - Oak Brook,Vendor - Bar,Oak Brook,2148.00,12.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/127462
contact cleanup first,4243.20,52908,Beatrix - St. Clair,Vendor - Bar,Chicago,1488.00,8.00,4,2026-04-30,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/52908
contact cleanup first,4222.44,351410,Mira Social,Vendor - Bar,Oak Park,1803.98,14.67,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Rye, Dry Gin, Priority Liqueur",Cranberry Gin,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/351410
contact cleanup first,4174.60,65053,Rogers Park Provisions,Vendor - Retail,Chicago,684.00,17.00,1,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Priority Liqueur","Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/65053
contact cleanup first,4166.80,79574,Chi Town Food & Liquor,Vendor - Retail,Chicago,672.00,12.00,2,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Dry Gin","Cranberry Gin, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/79574
contact cleanup first,4137.90,2758,Vas Foremost - Milwaukee,Vendor - Retail,Chicago,966.00,8.00,2,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin",Thresh & Winnow,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/2758
contact cleanup first,4062.80,206677,Everett Farms & The Station,Vendor - Bar,Lake Forest,1062.00,5.50,2,2026-02-28,independent/local,no,missing,live Salesreport/OPS lookup required,"Thresh & Winnow, Rye","Bourbon, Cranberry Gin, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/206677
contact cleanup first,4019.35,316932,The Fresh Market,Vendor - Retail,Chicago,1059.00,9.00,4,2026-04-30,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Dry Gin, Priority Liqueur","Cranberry Gin, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/316932
contact cleanup first,3900.50,361996,360 Chicago,Vendor - Bar,Chicago,770.00,6.00,2,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Rye, Priority Liqueur","Bourbon, Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/361996
contact cleanup first,3892.67,213627,Poitin Stil,Old Vendor,Chicago,1494.64,12.33,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin",Thresh & Winnow,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/213627
contact cleanup first,3877.60,228412,Cultivate By Forbidden Root,Vendor - Bar,Chicago,1584.00,11.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/228412
contact cleanup first,3856.70,323727,Gangnam Market,Vendor - Retail,Chicago,618.00,12.00,1,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow","Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/323727
contact cleanup first,3832.00,113455,The Dearborn,Vendor - Bar,Chicago,1260.00,14.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,none identified,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/113455
contact cleanup first,3825.15,334664,Prairie Food Co-Op,Vendor - Retail,Lombard,682.00,5.67,2,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Dry Gin, Priority Liqueur","Cranberry Gin, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/334664
contact cleanup first,3763.70,267802,L Wood,Vendor - Bar,Lincolnwood,1578.00,9.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Rye,"Bourbon, Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/267802
contact cleanup first,3749.80,210589,Forza Meats,Vendor - Retail,Glenview,792.00,3.00,2,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Rye","Cranberry Gin, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/210589
contact cleanup first,3731.47,213621,Bottles & Cans Too,Vendor - Retail,Chicago,1189.96,23.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow","Cranberry Gin, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/213621
contact cleanup first,3687.80,116372,Famous Liquors,Vendor - Retail,Forest Park,972.00,9.00,3,2026-04-30,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Rye, Dry Gin","Bourbon, Thresh & Winnow",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/116372
contact cleanup first,3680.90,2778,Rogers Park Fine Wines & Spirits (Shraddha Wine & Spirits),Vendor - Retail,Chicago,686.00,8.00,1,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow","Cranberry Gin, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/2778
contact cleanup first,3624.20,25490,Kenwood Liquors - Oaklawn,Vendor - Retail,Oak Lawn,768.00,6.00,1,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow","Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/25490
contact cleanup first,3616.57,321203,The Lyric Opera,Vendor - Bar,Chicago,1943.96,12.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow","Cranberry Gin, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/321203
contact cleanup first,3555.80,18544,Palmer House,Vendor - Bar,Chicago,1512.00,16.00,3,2026-05-31,independent/local,no,Maria El Bekai,live Salesreport/OPS lookup required,"Cranberry Gin, Dry Gin","Bourbon, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/18544
contact cleanup first,3525.55,364989,Levy at The Hand & The Eye,Vendor - Bar,Chicago,1776.00,12.33,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Thresh & Winnow, Dry Gin, Priority Liqueur","Bourbon, Cranberry Gin, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/364989
contact cleanup first,3522.70,123843,Hairy Cow Brewing Company,Vendor - Bar,Byron,1038.00,11.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Rye","Bourbon, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/123843
contact cleanup first,3514.20,364998,Spirits And Spice,Vendor - Retail,Chicago,768.00,4.00,1,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,Rye,"Bourbon, Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/364998
contact cleanup first,3497.25,355943,North Shore Country Club - Glenview,Vendor - Bar,Glenview,615.00,5.50,1,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Priority Liqueur","Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/355943
contact cleanup first,3496.50,300742,Beatrix - Wacker,Vendor - Bar,Chicago,1590.00,9.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/300742
