action_rank,source_rank,lane,account_id,account,category,city,purchased_2026,cases_2026,tier,chain_program,primary_contact,contact_email,contact_phone,next_action,portal_url
31,31,contact_cleanup,305888,Wild Onion Market,Vendor - Retail,Chicago,2328.98,22.00,C,,,,,Research and add a buyer/contact before field follow-up planning.,https://portal.koval-distillery.com/#/relationship-management/account/view/305888
32,32,chain_program,2683,Binny's Naperville,Vendor - Retail,Naperville,2322.00,16.00,C,Binny's,,,,Confirm buyer-level versus store-level treatment before rep outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/2683
33,33,rep_ready,36990,Eataly,Vendor - Retail,Chicago,2314.00,25.00,C,,Beverage Manager,MaxsimoSerradimigni@eataly.com,,"Prepare rep touch using 2026 purchases, current products, and one SKU/story ask.",https://portal.koval-distillery.com/#/relationship-management/account/view/36990
34,34,contact_cleanup,45436,Fresh Market Place (Agora Market),Vendor - Retail,Chicago,2214.00,20.00,C,,,,,Research and add a buyer/contact before field follow-up planning.,https://portal.koval-distillery.com/#/relationship-management/account/view/45436
35,35,chain_program,2684,Binny's Elmwood Park,Vendor - Retail,Elmwood Park,2184.00,15.00,C,Binny's,Brad Clarke,bclarke@binnys.com,,Confirm buyer-level versus store-level treatment before rep outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/2684
36,36,chain_program,27055,Binny's Evergreen Park,Vendor - Retail,Evergreen Park,2174.00,20.00,C,Binny's,,,,Confirm buyer-level versus store-level treatment before rep outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/27055
37,37,rep_ready,60696,Bitter Pops,Vendor - Retail,Chicago,2172.00,18.00,C,,Nick Gil,ngil@bitterpops.com,847-220-3852,"Prepare rep touch using 2026 purchases, current products, and one SKU/story ask.",https://portal.koval-distillery.com/#/relationship-management/account/view/60696
38,38,chain_program,5718,Binny's Plainfield,Vendor - Retail,Plainfield,2148.00,14.00,C,Binny's,,,,Confirm buyer-level versus store-level treatment before rep outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/5718
39,39,contact_cleanup,127462,Beatrix - Oak Brook,Vendor - Bar,Oak Brook,2148.00,12.00,C,,,,,Research and add a buyer/contact before field follow-up planning.,https://portal.koval-distillery.com/#/relationship-management/account/view/127462
40,40,chain_program,26021,Mariano's - Lakeshore East (8503),Vendor - Retail,Chicago,2136.00,16.00,C,Mariano's,,,,"Route as chain/program review: confirm authorized SKUs, buyer owner, and distributor support.",https://portal.koval-distillery.com/#/relationship-management/account/view/26021
41,41,chain_program,4766,Binny's Bloomingdale,Vendor - Retail,Bloomingdale,2136.00,13.00,C,Binny's,,,,Confirm buyer-level versus store-level treatment before rep outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/4766
42,42,contact_cleanup,2837,Andersonville Wine & Spirits,Vendor - Retail,Chicago,2076.00,51.00,C,,Brenna x,,,Verify usable email or phone for the named contact before outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/2837
43,43,contact_cleanup,45450,Malloy's Finest Wine & Spirits - Glen Ellyn,Vendor - Retail,Glen Ellyn,2064.00,12.00,C,,,,,Research and add a buyer/contact before field follow-up planning.,https://portal.koval-distillery.com/#/relationship-management/account/view/45450
44,44,chain_program,357955,Binny's Depot 48 Willowbrook,Vendor - Retail,Willowbrook,2052.00,13.00,C,Binny's,,,,Confirm buyer-level versus store-level treatment before rep outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/357955
45,45,chain_program,88230,Binny's Portage Park,Vendor - Retail,Chicago,2030.02,23.00,C,Binny's,,,,Confirm buyer-level versus store-level treatment before rep outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/88230
46,46,rep_ready,14138,Bottles and Cans,Vendor - Retail,Chicago,2022.00,27.00,C,,Carly Katz,carly@bottlesandcans.com,773-857-2270,"Prepare rep touch using 2026 purchases, current products, and one SKU/story ask.",https://portal.koval-distillery.com/#/relationship-management/account/view/14138
47,47,rep_ready,22348,Beatrix - N Clark,Vendor - Bar,Chicago,1962.00,11.00,C,,Cannon Porter,cporter@leye.com,3122841377,"Prepare rep touch using 2026 purchases, current products, and one SKU/story ask.",https://portal.koval-distillery.com/#/relationship-management/account/view/22348
48,48,chain_program,24930,Whole Foods - Evanston North,Vendor - Retail,Evanston,1944.00,16.00,C,Whole Foods Market,Ruben Anguiano,ruben.anguiano@wholefoods.com,,"Route as chain/program review: confirm authorized SKUs, buyer owner, and distributor support.",https://portal.koval-distillery.com/#/relationship-management/account/view/24930
49,49,contact_cleanup,321203,The Lyric Opera,Vendor - Bar,Chicago,1943.96,12.00,C,,,,,Research and add a buyer/contact before field follow-up planning.,https://portal.koval-distillery.com/#/relationship-management/account/view/321203
50,50,chain_program,186687,Binny's Geneva,Vendor - Retail,Geneva,1878.00,13.00,C,Binny's,,,,Confirm buyer-level versus store-level treatment before rep outreach.,https://portal.koval-distillery.com/#/relationship-management/account/view/186687
