action,old_sequence,new_sequence,source,target
rename,493,491,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_493-2025-12_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_491-2025-12_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,494,492,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_494-2025-12_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_492-2025-12_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,495,493,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_495-2025-12_image001-att.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_493-2025-12_image001-att.png
rename,496,494,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_496-2026-01_Re_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_494-2026-01_Re_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,497,495,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_497-2026-01_image001-att.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_495-2026-01_image001-att.png
rename,498,496,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_498-2026-01_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_496-2026-01_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,499,497,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_499-2026-01_image001-att.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_497-2026-01_image001-att.png
rename,500,498,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_500-2026-01_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_498-2026-01_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,501,499,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_501-2026-01_image001-att.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_499-2026-01_image001-att.png
rename,502,500,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_502-2026-01_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_500-2026-01_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,503,501,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_503-2026-01_image001-att.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_501-2026-01_image001-att.png
rename,504,502,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_504-2026-01_Re_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_502-2026-01_Re_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,505,503,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_505-2026-01_image001-att.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_503-2026-01_image001-att.png
rename,506,504,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_506-2026-01_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_504-2026-01_RE_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,507,505,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_507-2026-01_image001-att.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_505-2026-01_image001-att.png
rename,508,506,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_508-2026-03_Levin_Levy_Interest_Calculation.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_506-2026-03_Levin_Levy_Interest_Calculation.pdf
rename,509,507,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_509-2026-04_2020-Q1_Form_941_Account_Transcript_2026-04-15.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_507-2026-04_2020-Q1_Form_941_Account_Transcript_2026-04-15.pdf
rename,510,508,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_510-2026-04_2020-Q2_Form_941_Account_Transcript_2026-04-15.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_508-2026-04_2020-Q2_Form_941_Account_Transcript_2026-04-15.pdf
rename,511,509,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_511-2026-04_2020-Q4_Form_941_Account_Transcript_2026-04-15.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_509-2026-04_2020-Q4_Form_941_Account_Transcript_2026-04-15.pdf
rename,512,510,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_512-2026-04_2021-Q1_Form_941_Account_Transcript_2026-04-15.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_510-2026-04_2021-Q1_Form_941_Account_Transcript_2026-04-15.pdf
delete,513,,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_513-2026-04_USPS_Tracking_No_Records_Screenshot.jpg,
rename,514,511,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_514-undated_PPP_Chase_Koval_Loan_Forgiveness_Approval_Notice.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_511-undated_PPP_Chase_Koval_Loan_Forgiveness_Approval_Notice.pdf
rename,515,512,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_515-undated_PPP_Loan_Forgiveness_Application_3508S.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_512-undated_PPP_Loan_Forgiveness_Application_3508S.pdf
